Started GRPC Client

To alter the type, rate, SMA Channel or SMA Window, use these commands:
type <arg>
rate <arg>
channel <arg>
window <arg>

1 - NRK1, avg muted 21.195435557s, views 7 at 15:26:38.
2 - FEM, avg muted 14.274659191s, views 2 at 15:26:44.
3 - TV3 Norge, avg muted 13.822772158s, views 1 at 15:25:48.
4 - MAX, avg muted 13.746383122s, views 1 at 15:26:37.
5 - VOX, avg muted 12.010563001s, views 1 at 15:26:32.
6 - TVNORGE, avg muted 8.61631962s, views 1 at 15:26:28.
7 - NRK Rog. 24, avg muted 5.665304833s, views 1 at 15:26:47.
8 - Disney Channel, avg muted 5.467414518s, views 2 at 15:26:59.
9 - TV2 Zebra, avg muted 4.352512142s, views 2 at 15:26:37.
10 - TV Vest, avg muted 4.18732029s, views 1 at 15:26:34.

1 - NRK1, avg muted 21.195435557s, views 7 at 15:26:38.
2 - FEM, avg muted 14.274659191s, views 2 at 15:26:44.
3 - TV3 Norge, avg muted 13.822772158s, views 2 at 15:27:13.
4 - MAX, avg muted 13.746383122s, views 1 at 15:26:37.
5 - VOX, avg muted 12.010563001s, views 1 at 15:26:32.
6 - TVNORGE, avg muted 8.61631962s, views 1 at 15:26:28.
7 - NRK Rog. 24, avg muted 5.665304833s, views 1 at 15:26:47.
8 - Disney Channel, avg muted 5.467414518s, views 2 at 15:26:59.
9 - TV2 Zebra, avg muted 4.352512142s, views 2 at 15:26:37.
10 - TV Vest, avg muted 4.18732029s, views 1 at 15:26:34.

1 - NRK1, avg muted 21.195435557s, views 7 at 15:26:38.
2 - FEM, avg muted 14.274659191s, views 2 at 15:26:44.
3 - TV3 Norge, avg muted 13.822772158s, views 3 at 15:27:13.
4 - MAX, avg muted 13.746383122s, views 1 at 15:26:37.
5 - VOX, avg muted 12.010563001s, views 1 at 15:26:32.
6 - TVNORGE, avg muted 8.61631962s, views 1 at 15:26:28.
7 - NRK Rog. 24, avg muted 5.665304833s, views 1 at 15:26:47.
8 - Disney Channel, avg muted 5.467414518s, views 2 at 15:26:59.
9 - TV2 Zebra, avg muted 4.352512142s, views 2 at 15:26:37.
10 - TV Vest, avg muted 4.18732029s, views 1 at 15:26:34.

1 - NRK1, avg muted 21.195435557s, views 7 at 15:26:38.
2 - FEM, avg muted 14.274659191s, views 2 at 15:26:44.
3 - TV3 Norge, avg muted 13.822772158s, views 3 at 15:27:13.
4 - MAX, avg muted 13.746383122s, views 1 at 15:26:37.
5 - VOX, avg muted 12.010563001s, views 1 at 15:26:32.
6 - TVNORGE, avg muted 8.61631962s, views 1 at 15:26:28.
7 - NRK Rog. 24, avg muted 5.665304833s, views 1 at 15:26:47.
8 - Disney Channel, avg muted 5.467414518s, views 2 at 15:26:59.
9 - TV2 Zebra, avg muted 4.352512142s, views 2 at 15:26:37.
10 - TV Vest, avg muted 4.18732029s, views 1 at 15:26:34.

1 - FEM, avg muted 33.926404593s, views 2 at 15:26:44.
2 - NRK1, avg muted 21.195435557s, views 7 at 15:26:38.
3 - TV3 Norge, avg muted 13.822772158s, views 3 at 15:27:13.
4 - MAX, avg muted 13.746383122s, views 1 at 15:26:37.
5 - VOX, avg muted 12.010563001s, views 1 at 15:26:32.
6 - TVNORGE, avg muted 8.61631962s, views 1 at 15:26:28.
7 - NRK Rog. 24, avg muted 5.665304833s, views 1 at 15:26:47.
8 - Disney Channel, avg muted 5.467414518s, views 2 at 15:26:59.
9 - TV2 Zebra, avg muted 4.352512142s, views 2 at 15:26:37.
10 - TV Vest, avg muted 4.18732029s, views 1 at 15:26:34.

1 - FEM, avg muted 33.926404593s, views 2 at 15:26:44.
2 - NRK1, avg muted 21.195435557s, views 7 at 15:26:38.
3 - TV3 Norge, avg muted 13.822772158s, views 3 at 15:27:13.
4 - MAX, avg muted 13.746383122s, views 1 at 15:26:37.
5 - VOX, avg muted 12.010563001s, views 1 at 15:26:32.
6 - TVNORGE, avg muted 7.747890464s, views 1 at 15:26:28.
7 - NRK Rog. 24, avg muted 5.665304833s, views 1 at 15:26:47.
8 - Disney Channel, avg muted 5.467414518s, views 2 at 15:26:59.
9 - TV2 Zebra, avg muted 4.352512142s, views 2 at 15:26:37.
10 - TV Vest, avg muted 4.18732029s, views 2 at 15:27:27.

1 - FEM, avg muted 33.926404593s, views 2 at 15:26:44.
2 - TV2 Nyhet, avg muted 23.483134417s, views 2 at 15:27:07.
3 - BBC HD, avg muted 21.963492231s, views 1 at 15:27:09.
4 - NRK1, avg muted 21.195435557s, views 7 at 15:26:38.
5 - TV3 Norge, avg muted 13.822772158s, views 3 at 15:27:13.
6 - MAX, avg muted 13.746383122s, views 1 at 15:26:37.
7 - VOX, avg muted 12.010563001s, views 1 at 15:26:32.
8 - TVNORGE, avg muted 7.747890464s, views 1 at 15:26:28.
9 - NRK Rog. 24, avg muted 5.665304833s, views 1 at 15:26:47.
10 - Disney Channel, avg muted 5.467414518s, views 2 at 15:26:59.

1 - TV3 Norge, avg muted 50.129630568s, views 3 at 15:27:13.
2 - FEM, avg muted 33.926404593s, views 2 at 15:26:44.
3 - TV2 Nyhet, avg muted 23.483134417s, views 2 at 15:27:07.
4 - BBC HD, avg muted 21.963492231s, views 1 at 15:27:09.
5 - NRK1, avg muted 21.195435557s, views 7 at 15:26:38.
6 - MAX, avg muted 13.746383122s, views 1 at 15:26:37.
7 - VOX, avg muted 12.010563001s, views 1 at 15:26:32.
8 - BBC Knowledge, avg muted 10.399340971s, views 1 at 15:27:26.
9 - TVNORGE, avg muted 7.747890464s, views 1 at 15:26:28.
10 - TVNORGE HD, avg muted 5.715642112s, views 1 at 15:27:31.

1 - TV3 Norge, avg muted 50.129630568s, views 3 at 15:27:13.
2 - FEM, avg muted 33.926404593s, views 2 at 15:26:44.
3 - TV2 Nyhet, avg muted 23.483134417s, views 2 at 15:27:07.
4 - BBC HD, avg muted 21.963492231s, views 1 at 15:27:09.
5 - NRK1, avg muted 21.195435557s, views 7 at 15:26:38.
6 - MAX, avg muted 13.746383122s, views 1 at 15:26:37.
7 - VOX, avg muted 12.010563001s, views 1 at 15:26:32.
8 - BBC Knowledge, avg muted 10.399340971s, views 1 at 15:27:26.
9 - TVNORGE, avg muted 7.747890464s, views 1 at 15:26:28.
10 - BBC Lifestyle, avg muted 7.232149954s, views 1 at 15:27:31.

1 - TV3 Norge, avg muted 50.129630568s, views 3 at 15:27:13.
2 - FEM, avg muted 33.926404593s, views 2 at 15:26:44.
3 - TV2 Nyhet, avg muted 23.483134417s, views 2 at 15:27:07.
4 - BBC HD, avg muted 21.963492231s, views 1 at 15:27:09.
5 - NRK1, avg muted 21.195435557s, views 7 at 15:26:38.
6 - MAX, avg muted 13.746383122s, views 1 at 15:26:37.
7 - VOX, avg muted 12.010563001s, views 2 at 15:27:42.
8 - BBC Knowledge, avg muted 10.399340971s, views 1 at 15:27:26.
9 - TVNORGE, avg muted 7.747890464s, views 1 at 15:26:28.
10 - Eurosport 2, avg muted 7.437534112s, views 1 at 15:27:37.

1 - TV3 Norge, avg muted 50.129630568s, views 4 at 15:27:49.
2 - NRK 3/Super, avg muted 38.528678349s, views 2 at 15:27:19.
3 - FEM, avg muted 33.926404593s, views 2 at 15:26:44.
4 - TV2 Nyhet, avg muted 23.483134417s, views 2 at 15:27:07.
5 - BBC HD, avg muted 21.963492231s, views 1 at 15:27:09.
6 - NRK1, avg muted 21.195435557s, views 8 at 15:27:48.
7 - MAX, avg muted 13.746383122s, views 1 at 15:26:37.
8 - BBC Knowledge, avg muted 10.399340971s, views 1 at 15:27:26.
9 - VOX, avg muted 8.743957853s, views 2 at 15:27:42.
